,NDC,ingredient_code,rxnrom
6544,51645071601,1191,212033
6545,00169706515,4832,153095
6546,47335032213,6719,996561
6547,10939056533,,
6548,52268010101,221147,966922
6549,08496310101,,
6550,37205095140,19478,308762
6551,11523077101,2623,199603
6552,00143928410,40790,283669
6553,00456142090,31555,827075
6554,69097085407,7258,198012
6555,62991308901,,
6556,67877051290,83367,617310
6557,87701039986,,
6558,50580033918,6468,978000
6559,49452191001,,
6560,00603053450,,
6561,00025170112,,
6562,68180054503,7597,1053753
6563,11917011462,,
6564,00078024815,3008,835911
6565,55111068205,5640,206905
6566,51672403103,11289,855324
6567,50458058601,6901,1091187
6568,64764089099,,
6569,00781538892,83367,259255
6570,08137004267,,
6571,00781342868,67108,854241
6572,00173056900,,
6573,16729013700,2598,197528
6574,60505311203,61381,312079
6575,67618015303,8611,798176
6576,49708075441,19737,1790146
6577,57237022005,33738,312440
6578,68180065001,3640,1649401
6579,68032032290,,
6580,65862016901,1202,197381
6581,00338111504,10524,1090639
6582,10337016360,2590,861503
6583,49999061930,,
6584,00713065615,2590,861448
6585,67546011112,31819,540617
6586,45802006335,10759,1085644
6587,00603578128,10180,198335
6588,00574030416,,
6589,00002327030,72625,615186
6590,46581068005,6750,853146
6591,50428297584,,
6592,00093729056,72143,1490065
6593,38779007809,,
6594,24658030110,36567,314231
6595,53191036201,2418,705728
6596,78112065944,,
6597,37205058426,6468,1250685
6598,00641617510,7617,312069
6599,63739027210,,
6600,41415007873,,
6601,52536012901,6676,995624
6602,00378524685,279645,284205
6603,11917014796,,
6604,59762006303,,
6605,33342004807,83818,200095
6606,49483062050,6809,861004
6607,51862044960,,
6608,37205050826,161,307668
6609,50428164183,,
6610,50428818567,,
6611,59011048010,7804,1049601
6612,00078024615,3008,835909
6613,68382004001,8745,992438
6614,17478071311,7623,312075
6615,65597010790,321064,847042
6616,66019030110,,
6617,51672127003,3255,197574
6618,00536106210,82003,1115005
6619,68682071101,3827,858813
6620,64679010702,42347,993536
6621,11917011344,,
6622,27437002501,,
6623,49230064551,1484283,1484296
6624,00944265504,,
6625,51991038490,11248,644794
6626,51672126101,3255,315059
6627,69097087903,42347,993536
6628,42543070990,746741,859048
6629,13107014505,20352,200033
6630,00555913167,11636,801185
6631,68462063901,4917,198039
6632,00781282310,4493,310384
6633,00172524060,596724,597852
6634,50428028046,,
6635,00187079742,3443,830839
6636,59767001601,6406,1294128
6637,00023833503,83947,212437
6638,00378039001,7417,198036
6639,45802010196,1418,308689
6640,62332002730,52175,979485
6641,52547080130,,
6642,59310041012,1347,1797921
6643,42571010001,25789,199245
6644,68682036790,3443,830861
6645,52544015130,720825,826614
6646,60258041730,,
6647,08522000070,,
6648,43547035050,32937,1738511
6649,64376013805,,
6650,42192034001,153970,1047905
6651,68382090401,7052,891888
6652,16729007901,2019,308989
6653,67877012440,9793,106351
6654,00169183402,1605101,311027
6655,59630070148,,
6656,11673060010,797541,797544
6657,00121478810,3013,866021
6658,31604001886,,
6659,16729044410,42347,993557
6660,57237004390,73645,313564
6661,00591240530,358274,722122
6662,00603941858,,
6663,00093538506,68244,200082
6664,23155017805,6057,353538
6665,39822061701,2709,1117522
6666,11917014190,,
6667,00781598601,2002,199378
6668,16714051302,,
6669,66685101202,723,617430
6670,00363085135,612,307746
6671,00182170189,,
6672,60793085601,10582,966190
6673,00025153002,140587,352314
6674,30768030405,2418,885489
6675,57237016590,42463,904467
6676,63323012930,84857,199224
6677,21695033230,,
6678,00597018239,1100699,1602115
6679,49348048912,9796,252294
6680,13668031330,17767,730872
6681,68645055754,5487,197886
6682,55111012190,83367,617312
6683,00065143105,34693,707566
6684,62011002301,161,198440
6685,16714058202,,
6686,83490030760,9863,706943
6687,50580022648,,
6688,49348089810,6711,199163
6689,16714048301,2582,562266
6690,42806005709,17767,308135
6691,52856050303,22396,1870952
6692,70594004602,11124,1807513
6693,27241000650,35636,314211
6694,60505084805,18603,1797883
6695,50428030717,,
6696,00056018975,11289,855340
6697,00781205401,37798,260376
6698,60258014620,9873,313036
6699,25021045101,7617,312068
6700,65862069301,2101,730794
6701,00363007120,5032,636522
6702,11917016411,,
6703,65862017501,7984,834061
6704,00067628026,612,404176
6705,60258005008,,
6706,60505327500,61381,314155
6707,17478042020,6185,896771
6708,16500053872,,
6709,00378334053,326374,1536586
6710,00259120245,31476,1433736
6711,72140000022,,
6712,00085133401,275635,755661
6713,68462031829,22656,1252016
6714,17478053802,7715,994541
6715,57664043718,3407,197604
6716,00378165005,7454,311995
6717,51927152100,,
6718,57237023301,10180,198335
6719,69097041002,407990,432402
6720,51525044208,24812,310285
6721,31722095005,7804,1049225
6722,36000052048,,
6723,00591046110,4821,310488
6724,36000052856,,
6725,00904585652,1897,809533
6726,13811059830,1151,1043300
6727,00024515005,1952,210346
6728,00078035752,32624,351992
6729,51672130308,3743,857366
6730,65162054510,8691,96304
6731,24385095501,,
6732,00781340485,733,1721475
6733,63824001764,3289,1116572
6734,00677042701,,
6735,13811062810,18867,898687
6736,00172240780,10395,198252
6737,42806005509,17767,308136
6738,00009344801,2582,882536
6739,50716000544,,
6740,00093729605,20352,200033
6741,68084071301,39786,313581
6742,00093514256,46041,904405
6743,37205007578,,
6744,00338051948,,
6745,00378632577,5487,636045
6746,65162051250,,
6747,00363039215,5640,310965
6748,13668006990,69749,349201
6749,65597011030,17767,744632
6750,00008103004,35302,351901
6751,00054026220,1908,198546
6752,70436000904,407990,432400
6753,51672406201,4492,310379
6754,13668025230,5487,403854
6755,68084060421,3251,833008
6756,50000021667,,
6757,04142000008,,
6758,00904619546,84857,199224
6759,52817018110,2599,884185
6760,43547028110,321988,349332
6761,45963074911,,
6762,00065041636,,
6763,00781540405,,
6764,42192032901,10572,1724439
6765,50383005008,2541,212787
6766,68462022001,42351,311355
6767,50419075401,2551,205770
6768,55111063960,6980,207364
6769,00378967158,,
6770,65862000801,6809,861007
6771,00228257709,,
6772,00173077702,28439,849050
6773,47781049105,3640,1650143
6774,68001032800,5487,310818
6775,59762003501,136411,312950
6776,50474010001,10438,844590
6777,50428322437,,
6778,57664039913,4821,310488
6779,51079046120,35636,312829
6780,00228315403,7242,351266
6781,61703034250,56946,312199
6782,60505313901,51272,616483
6783,60505380709,5487,200285
6784,42192035030,,
6785,00093747701,68149,200060
6786,08317700050,,
6787,59310017540,,
6788,76329301105,6387,1011852
6789,58657060501,6185,896758
6790,65862005322,36567,198211
6791,66993011460,8754,861156
6792,11917003687,,
6793,63736044180,6932,992778
6794,00065804054,,
6795,08321081038,,
6796,13107008901,6813,864706
6797,65162089129,108118,1797865
6798,00378240201,10800,198324
6799,55111035610,135447,997229
6800,00722711603,,
6801,00168027960,17652,197328
6802,68084010609,115698,313778
6803,50383077806,24947,702249
6804,00472046730,,
6805,00591261005,,
6806,51991019811,105669,861083
6807,10702001001,5553,995218
6808,00071000724,8183,1313887
6809,00904581846,,
6810,00115552210,8703,349287
6811,68462016205,20352,686924
6812,51862015630,703,834348
6813,41167041274,,
6814,50428267637,,
6815,47335034383,20610,1014643
6816,52041002542,,
6817,00409792409,4850,1794905
6818,00501320001,3498,1293717
6819,08970100864,,
6820,60505614700,20481,1665088
6821,64980020901,32675,863636
6822,50580053504,3498,1049908
6823,00501373005,,
6824,51079068463,1202,197381
6825,36000040674,,
6826,41415014473,,
6827,37205064426,,
6828,24385006101,7299,204602
6829,49884068905,6915,311666
6830,16714004110,519,197319
6831,54458088410,,
6832,62756029988,8183,855861
6833,16714022402,5487,979464
6834,43598016530,61381,312079
6835,41415009973,,
6836,50580011224,,
6837,00603085754,,
6838,50428483707,,
6839,43900094139,,
6840,10702001101,5553,995258
6841,50428436896,,
6842,50428144778,,
6843,00093013505,20352,200031
6844,00603344121,,
6845,62011001101,5640,197803
6846,98302000104,,
6847,62011012301,6581,253017
6848,12843010117,1191,211874
6849,16500053760,,
6850,67767020001,,
6851,59630071008,,
6852,68180084813,4124,810096
6853,65162011310,,
6854,00501100170,,
6855,36000013406,,
6856,36000052246,,
6857,55390046505,,
6858,00115155801,7804,1860129
6859,00078071315,614373,1923829
6860,00409650949,11124,313572
6861,58914001910,,
6862,14508030408,,
6863,12547023852,,
6864,51927191500,,
6865,08317780100,,
6866,60758088010,4491,310377
6867,59762501701,4450,197699
6868,65862002306,15996,283485
6869,00555034458,,
6870,00378030201,,
6871,00536104710,36676,198861
6872,60258000216,21183,828618
6873,67253090110,596,308048
6874,37000026245,,
6875,68084049911,1546438,197738
6876,64679096501,19257,857336
6877,11845014882,41967,199907
6878,69238131509,187832,483446
6879,49348004214,161,198440
6880,46122029926,5032,310604
6881,00115104001,8745,992438
6882,00093731601,3251,849515
6883,51079067220,21212,197516
6884,54092025390,234416,603122
6885,00009770901,,
6886,31604002612,,
6887,16958068458,,
6888,00603084354,,
6889,50458056301,679314,858055
6890,68645040170,,
6891,51079007820,5553,995278
6892,49035010526,161,307668
6893,59630022230,1876597,1876609
6894,65862089130,121243,349435
6895,98716006230,,
6896,00172290800,,
6897,75137000495,,
6898,08225212600,,
6899,16714031501,39786,313580
6900,00172428510,,
6901,62559039050,11124,313570
6902,64125090601,6470,197902
6903,00406144501,6901,1091145
6904,46017001110,,
6905,12843036304,6581,210887
6906,00032120501,,
6907,00228203150,596,197321
6908,55111011381,6064,1605088
6909,83490086017,,
6910,00065064435,10627,207850
6911,37205020371,7407,314119
6912,43376031060,,
6913,51927224500,,
6914,62332010130,89013,349553
6915,72733590202,1659152,1659161
6916,57664080083,5487,999991
6917,50228010501,6809,861007
6918,49884031155,35636,403825
6919,68180048502,42463,904458
6920,16714079502,37801,313222
6921,57237000205,5487,199903
6922,67871011104,214817,213337
6923,00904647061,39786,313581
6924,64679094202,29046,197884
6925,68382065901,9000,903857
6926,65862055330,68244,349491
6927,00472030615,,
6928,00603258228,2101,197446
6929,00168006060,25126,1191315
6930,23155023501,4815,861753
6931,43684010010,5492,830761
6932,00067644159,161,307675
6933,13107010501,8152,968766
6934,50428046217,,
6935,59088010673,9873,315213
6936,41415029973,,
6937,10631009630,5084,206548
6938,11917011643,,
6939,37205034978,,
6940,43199003701,6185,896758
6941,59762018002,39786,313583
6942,00409577901,8591,801451
6943,00173052300,37418,582328
6944,68382003510,39786,313585
6945,54838055080,,
6946,87701040248,,
6947,37000011725,,
6948,00093722498,50166,857187
6949,64980025501,19831,1244214
6950,00074663722,,
6951,08396050192,,
6952,00603578021,10180,198334
6953,00310028260,51272,721793
6954,00781620346,19552,309081
6955,16252061830,301542,859419
6956,65862064169,18631,749783
6957,61748005416,10811,905273
6958,13107000105,15996,476809
6959,56151173101,,
6960,73796033026,,
6961,00093073805,,
6962,42799010501,6832,992184
6963,43598020505,723,308191
6964,62011024805,28889,311372
6965,00049316044,121243,546624
6966,00904675060,82003,1483574
6967,60505615704,8339,1659137
6968,50228046501,31448,311892
6969,11980001105,10169,1006122
6970,64679092705,29046,311353
6971,49348050034,5640,197803
6972,57237014101,38413,198370
6973,57664013564,7426,198037
6974,86227013085,,
6975,33342005507,33738,312440
6976,13668027105,2002,308973
6977,50580072630,20610,1020026
6978,50428488021,,
6979,60505700402,,
6980,00378245701,6470,197901
6981,63323011761,4492,239177
6982,08290005540,,
6983,42192013608,10223,999613
6984,00597005345,4832,153095
6985,67767013325,,
6986,68084005390,3443,830845
6987,00536589553,7407,198029
6988,00173067601,2382,864685
6989,50428460449,,
6990,00904509877,,
6991,00536668001,52358,311425
6992,64380073706,4018,1367410
6993,25021081430,6313,1803932
6994,67877022401,25480,310432
6995,11917010303,,
6996,62037086320,,
6997,41383008002,,
6998,69543038590,61381,283639
6999,51991064433,7646,200329
7000,27241000912,114477,311290
7001,00121058104,5093,141935
7002,51862008551,37776,317160
7003,59762313001,18631,141963
7004,11917014057,,
7005,60258004843,,
7006,87701022752,,
7007,42192036610,36108,583170
7008,10158005315,,
7009,00603254521,,
7010,96295010492,,
7011,00904053160,,
7012,66993040932,2002,200131
7013,63304034001,18867,898719
7014,29033001912,2002,388311
7015,43547036909,69749,349201
7016,50428331733,,
7017,65862056099,40790,314200
7018,57237005799,,
7019,00023367060,3108,701858
7020,00591555510,8787,856457
7021,42543071305,32968,309362
7022,16714065601,39786,313584
7023,65862044990,73645,313564
7024,66689034702,35302,314230
7025,11917014377,,
7026,00904646046,9796,198852
7027,60505306705,40254,1099870
7028,00378207601,29046,197884
7029,08214085029,,
7030,36800054478,161,1148399
7031,60505018901,29046,197884
7032,67112050131,,
7033,00904517416,3498,1092424
7034,36000052642,,
7035,11523719702,28889,755476
7036,64253020235,,
7037,16714037501,,
7038,51672127501,2623,309367
7039,00378528005,3443,830845
7040,49884098501,274332,311919
7041,00781717156,10627,348719
7042,00378395105,83367,617310
7043,51479004901,,
7044,00603786190,,
7045,00093578756,306266,485436
7046,00904671552,,
7047,71930005512,161,993781
7048,52536018003,4053,310155
7049,64380071207,18993,197397
7050,49348012844,4278,199047
7051,49035090112,3498,1049909
7052,37205007178,,
7053,16714047002,2598,197528
7054,57237022030,33738,312440
7055,43547039910,21949,828320
7056,57664016658,6918,866514
7057,68084004401,32937,1738483
7058,76282021010,,
7059,68180075601,17767,898353
7060,00781216460,115698,314286
7061,00093573301,7804,1860137
7062,00378048130,7417,1812013
7063,64376082350,1151,1365980
7064,60505250301,27169,205285
7065,00378268501,704,856762
7066,00591065705,,
7067,65649010302,52582,825134
7068,98302014059,,
7069,00832712211,40254,1099625
7070,08137008912,,
7071,68645044670,25025,310346
7072,64679067007,17128,311277
7073,68180012301,,
7074,00378102593,135447,1100184
7075,75834001060,4018,237723
7076,00487590199,66887,863968
7077,00536108494,8570,142004
7078,67877012801,18993,903291
7079,68382025010,83367,617310
7080,68462039730,7646,200329
7081,69238131309,187832,483438
7082,68382010901,28439,311264
7083,12547063622,,
7084,00781285560,,
7085,00378110505,4821,310490
7086,00904505360,,
7087,21749050608,448,581660
7088,62011012601,19478,308762
7089,00527131506,9384,198202
7090,51991073801,7299,866042
7091,00450027524,,
7092,00591532501,2683,198153
7093,00363066703,59087,727137
7094,87701040749,2418,199362
7095,62856052960,,
7096,00485007116,,
7097,70710113801,4450,197698
7098,16714075301,5521,979092
7099,00093354456,38400,349593
7100,62559073101,24812,198359
7101,50428242136,,
7102,00574006716,797541,808520
7103,50580018450,5640,544393
7104,00264936155,10337,1189645
7105,23900001778,161,1544175
7106,70074058298,,
7107,00904583442,7646,402014
7108,66521011710,,
7109,00113036871,7258,849574
7110,63824005640,3289,1298324
7111,60505251908,2556,200371
7112,00781615652,723,313850
7113,00363917002,7407,359817
7114,68180031906,42347,993541
7115,00406037601,161,856987
7116,58657012012,6582,198741
7117,70074067185,,
7118,00338001718,4850,1795609
7119,62332007591,6719,996571
7120,00115174101,6901,1806197
7121,70074062093,,
7122,00078065967,69749,1656346
7123,74312053098,6711,880838
7124,55045335100,,
7125,37000041947,,
7126,11917012086,161,307668
7127,17314585302,,
7128,00093227773,723,617423
7129,00363017534,161,307668
7130,50580013408,6468,1250693
7131,16729019517,,
7132,19515089511,,
7133,00054025922,88249,200224
7134,00187526802,10454,1087623
7135,08290322057,,
7136,00406145101,,
7137,27241012403,136411,577033
7138,00781801801,2598,197527
7139,58204000428,,
7140,11917010573,,
7141,60505327703,61381,351107
7142,51672403803,3827,858813
7143,00409614309,168,307707
7144,49348099044,6750,485287
7145,59746033590,52175,979480
7146,44523055008,10223,1000895
7147,16714089701,33199,106387
7148,55513022101,805452,1728095
7149,00093505998,83367,617310
7150,00378454101,725,541878
7151,00536342408,1897,428485
7152,57894050220,1721947,1726440
7153,71558059028,641,2059189
7154,00597010051,69120,2166204
7155,62011001601,5640,310964
7156,00072820015,,
7157,37205029603,38298,198380
7158,00085061402,,
7159,00043045306,,
7160,66870040601,5032,1298443
7161,12843003520,82003,1248002
7162,68682052501,,
7163,37000003202,19478,211176
7164,00065902570,,
7165,64679090601,,
7166,00406048410,161,993781
7167,00173056504,73645,212448
7168,43547033950,35636,312828
7169,41167412003,87636,997422
7170,60505316203,52175,979480
7171,12333012706,,
7172,17314933001,,
7173,70710111308,57258,485484
7174,68001031608,6472,197905
7175,68382078201,3640,1649401
7176,50428171272,,
7177,68462031435,7597,1053753
7178,16714075102,2598,197529
7179,68001033203,29046,311353
7180,70436009106,88249,242438
7181,65628020510,11124,2000133
7182,45802011937,108118,151029
7183,68382079301,7804,1049621
7184,00781751587,19831,349094
7185,62037069630,3443,831196
7186,00363045872,20610,1087169
7187,00093274865,4278,199047
7188,61314064511,5492,310687
7189,68001012203,6918,866436
7190,00093206901,49276,197626
7191,62756036888,5487,866479
7192,08137003740,,
7193,41415004775,5492,106258
7194,52817014190,32937,1738495
7195,57237008763,88014,312840
7196,16714085402,6918,866412
7197,69238130501,21241,199450
7198,43386058131,6915,608624
7199,00206886202,37617,1659151
7200,65862008601,19484,854905
7201,19810000021,,
7202,00409733304,2193,1665021
7203,60505132001,6963,993466
7204,13913000616,25480,1115016
7205,00406118360,51272,721794
7206,12496130602,,
7207,37205030410,7812,1000990
7208,64679092403,3827,858813
7209,00173071520,36117,896237
7210,59762102003,,
7211,64679094105,29046,314077
7212,16729017301,704,856845
7213,40986001194,,
7214,00143985925,2193,309092
7215,55111019605,32968,309362
7216,00378661493,6064,404064
7217,00054040450,7052,892625
7218,16784069443,,
7219,65862023703,115264,904932
7220,72205001790,187832,577127
7221,76325018864,81647,984107
7222,49884000910,6058,197839
7223,67618020004,2358,834150
7224,50458051360,161,993837
7225,43598050930,283742,606726
7226,49348095434,1897,308915
7227,00024586903,274783,1604544
7228,00406832001,7052,892646
7229,00173071204,228790,352118
7230,00031223813,2400,1111440
7231,00115104101,8745,992447
7232,00074431430,73710,606859
7233,62103033300,11423,708074
7234,00026382425,4257,1743374
7235,00527331137,6901,1091170
7236,47469000510,,
7237,65862019401,4493,313989
7238,00363039208,5640,310965
7239,00409672903,6585,1658264
7240,46122019260,3289,1110988
7241,00781269344,37776,317160
7242,00168041760,42316,313189
7243,25021010510,2193,1665005
7244,50428040525,,
7245,64720013110,725,1009145
7246,00363045307,8163,1090087
7247,16252009833,,
7248,54162060002,,
7249,50428051206,,
7250,31722050430,195085,349477
7251,68462049976,135775,284201
7252,00536105875,1418,106310
7253,00121065700,161,307675
7254,00378912416,4337,245136
7255,67253014743,,
7256,68462044718,214824,857224
7257,49483060301,5640,197806
7258,51552092105,,
7259,31722033010,11289,855318
7260,45802098464,,
7261,43292055808,,
7262,49035091555,,
7263,13668017990,301542,859424
7264,00781317986,2191,242800
7265,00093213193,,
7266,51991046901,,
7267,37205074378,3498,1049630
7268,37205039272,,
7269,00182000301,,
7270,00469061773,42316,108513
7271,00781279031,7646,198051
7272,60258016201,,
7273,00143147301,8640,198145
7274,00713010209,4910,421299
7275,96295010253,,
7276,67857080938,37418,1738581
7277,10631000830,6918,2047772
7278,62332051805,10627,313415
7279,00069130510,105694,2047602
7280,69238199207,3407,197606
7281,46017001140,,
7282,00034180080,,
7283,50383026915,2590,861434
7284,00574206304,2590,861512
7285,40985027113,,
7286,00093735301,1894,308868
7287,23155065205,6922,311681
7288,45963014230,42347,993557
7289,00450044905,,
7290,40986002258,,
7291,52569013415,,
7292,61314064725,3264,309683
7293,51672413203,28439,198428
7294,00182408201,,
7295,51927113800,,
7296,68001027900,3355,855664
7297,49035054462,161,1148399
7298,55390022604,,
7299,51552000203,21389,1190302
7300,63020008002,1723735,1723772
7301,00228304611,,
7302,54458092616,42463,904467
7303,50428436898,,
7304,36000001409,,
7305,65162076610,11289,855332
7306,76331081030,,
7307,00074712613,40254,1099571
7308,00781152610,8591,628953
7309,16729015016,51272,616483
7310,62175089043,83367,617312
7311,00121054425,82003,1248119
7312,08222074195,,
7313,44946100903,9873,901288
7314,66993087761,29365,313921
7315,50428331727,,
7316,63323040120,1272,1664981
7317,04142000024,,
7318,51079057420,10800,198325
7319,52380127206,2358,211365
7320,00045026908,3289,1431245
7321,69097087612,42347,993557
7322,59762015601,83367,617310
